id,name,set,set_name,mana_cost,colors,type,super_type,rarity
435152,Adanto Vanguard,XLN,Ixalan,{1}{W},['White'],Creature — Vampire Soldier,,Uncommon
435153,Ashes of the Abhorrent,XLN,Ixalan,{1}{W},['White'],Enchantment,,Rare
435154,Axis of Mortality,XLN,Ixalan,{4}{W}{W},['White'],Enchantment,,Mythic Rare
435155,Bellowing Aegisaur,XLN,Ixalan,{5}{W},['White'],Creature — Dinosaur,,Uncommon
435156,Bishop of Rebirth,XLN,Ixalan,{3}{W}{W},['White'],Creature — Vampire Cleric,,Rare
435157,Bishop's Soldier,XLN,Ixalan,{1}{W},['White'],Creature — Vampire Soldier,,Common
435158,Bright Reprisal,XLN,Ixalan,{4}{W},['White'],Instant,,Uncommon
435159,Demystify,XLN,Ixalan,{W},['White'],Instant,,Common
435160,Duskborne Skymarcher,XLN,Ixalan,{W},['White'],Creature — Vampire Cleric,,Uncommon
435161,Emissary of Sunrise,XLN,Ixalan,{2}{W},['White'],Creature — Human Cleric,,Uncommon
435162,Encampment Keeper,XLN,Ixalan,{W},['White'],Creature — Hound,,Common
435163,Glorifier of Dusk,XLN,Ixalan,{3}{W}{W},['White'],Creature — Vampire Soldier,,Uncommon
435164,Goring Ceratops,XLN,Ixalan,{5}{W}{W},['White'],Creature — Dinosaur,,Rare
435165,Imperial Aerosaur,XLN,Ixalan,{3}{W},['White'],Creature — Dinosaur,,Uncommon
435166,Imperial Lancer,XLN,Ixalan,{W},['White'],Creature — Human Knight,,Uncommon
435167,Inspiring Cleric,XLN,Ixalan,{2}{W},['White'],Creature — Vampire Cleric,,Uncommon
435168,Ixalan's Binding,XLN,Ixalan,{3}{W},['White'],Enchantment,,Uncommon
435169,Kinjalli's Caller,XLN,Ixalan,{W},['White'],Creature — Human Cleric,,Common
435170,Kinjalli's Sunwing,XLN,Ixalan,{2}{W},['White'],Creature — Dinosaur,,Rare
435171,Legion Conquistador,XLN,Ixalan,{2}{W},['White'],Creature — Vampire Soldier,,Common
435172,Legion's Judgment,XLN,Ixalan,{2}{W},['White'],Sorcery,,Common
435173,Legion's Landing,XLN,Ixalan,{W},['White'],Legendary Enchantment,['Legendary'],Rare
435174,"Adanto, the First Fort",XLN,Ixalan,,,Legendary Land,['Legendary'],Rare
435175,Looming Altisaur,XLN,Ixalan,{3}{W},['White'],Creature — Dinosaur,,Common
435176,"Mavren Fein, Dusk Apostle",XLN,Ixalan,{2}{W},['White'],Legendary Creature — Vampire Cleric,['Legendary'],Rare
435177,Paladin of the Bloodstained,XLN,Ixalan,{3}{W},['White'],Creature — Vampire Knight,,Common
435178,Pious Interdiction,XLN,Ixalan,{3}{W},['White'],Enchantment — Aura,,Common
435179,Priest of the Wakening Sun,XLN,Ixalan,{W},['White'],Creature — Human Cleric,,Rare
435180,Pterodon Knight,XLN,Ixalan,{3}{W},['White'],Creature — Human Knight,,Common
435181,Queen's Commission,XLN,Ixalan,{2}{W},['White'],Sorcery,,Common
435182,Rallying Roar,XLN,Ixalan,{2}{W},['White'],Instant,,Uncommon
435183,Raptor Companion,XLN,Ixalan,{1}{W},['White'],Creature — Dinosaur,,Common
435184,Ritual of Rejuvenation,XLN,Ixalan,{2}{W},['White'],Instant,,Common
435185,Sanguine Sacrament,XLN,Ixalan,{X}{W}{W},['White'],Instant,,Rare
435186,Settle the Wreckage,XLN,Ixalan,{2}{W}{W},['White'],Instant,,Rare
435187,Sheltering Light,XLN,Ixalan,{W},['White'],Instant,,Uncommon
435188,Shining Aerosaur,XLN,Ixalan,{4}{W},['White'],Creature — Dinosaur,,Common
435189,Skyblade of the Legion,XLN,Ixalan,{1}{W},['White'],Creature — Vampire Soldier,,Common
435190,Slash of Talons,XLN,Ixalan,{W},['White'],Instant,,Common
435191,Steadfast Armasaur,XLN,Ixalan,{3}{W},['White'],Creature — Dinosaur,,Uncommon
435192,Sunrise Seeker,XLN,Ixalan,{4}{W},['White'],Creature — Human Scout,,Common
435193,Territorial Hammerskull,XLN,Ixalan,{2}{W},['White'],Creature — Dinosaur,,Common
435194,Tocatli Honor Guard,XLN,Ixalan,{1}{W},['White'],Creature — Human Soldier,,Rare
435195,Vampire's Zeal,XLN,Ixalan,{W},['White'],Instant,,Common
435196,Wakening Sun's Avatar,XLN,Ixalan,{5}{W}{W}{W},['White'],Creature — Dinosaur Avatar,,Mythic Rare
435197,Air Elemental,XLN,Ixalan,{3}{U}{U},['Blue'],Creature — Elemental,,Uncommon
435198,Arcane Adaptation,XLN,Ixalan,{2}{U},['Blue'],Enchantment,,Rare
435199,Cancel,XLN,Ixalan,{1}{U}{U},['Blue'],Instant,,Common
435200,Chart a Course,XLN,Ixalan,{1}{U},['Blue'],Sorcery,,Uncommon
435201,Daring Saboteur,XLN,Ixalan,{1}{U},['Blue'],Creature — Human Pirate,,Rare
435202,Deadeye Quartermaster,XLN,Ixalan,{3}{U},['Blue'],Creature — Human Pirate,,Uncommon
435203,Deeproot Waters,XLN,Ixalan,{2}{U},['Blue'],Enchantment,,Uncommon
435204,Depths of Desire,XLN,Ixalan,{2}{U},['Blue'],Instant,,Common
435205,Dive Down,XLN,Ixalan,{U},['Blue'],Instant,,Common
435206,Dreamcaller Siren,XLN,Ixalan,{2}{U}{U},['Blue'],Creature — Siren Pirate,,Rare
435207,Entrancing Melody,XLN,Ixalan,{X}{U}{U},['Blue'],Sorcery,,Rare
435208,Favorable Winds,XLN,Ixalan,{1}{U},['Blue'],Enchantment,,Uncommon
435209,Fleet Swallower,XLN,Ixalan,{5}{U}{U},['Blue'],Creature — Fish,,Rare
435210,Headwater Sentries,XLN,Ixalan,{3}{U},['Blue'],Creature — Merfolk Warrior,,Common
435211,Herald of Secret Streams,XLN,Ixalan,{3}{U},['Blue'],Creature — Merfolk Warrior,,Rare
435212,"Jace, Cunning Castaway",XLN,Ixalan,{1}{U}{U},['Blue'],Legendary Planeswalker — Jace,['Legendary'],Mythic Rare
435213,"Kopala, Warden of Waves",XLN,Ixalan,{1}{U}{U},['Blue'],Legendary Creature — Merfolk Wizard,['Legendary'],Rare
435214,Lookout's Dispersal,XLN,Ixalan,{2}{U},['Blue'],Instant,,Uncommon
435215,Navigator's Ruin,XLN,Ixalan,{2}{U},['Blue'],Enchantment,,Uncommon
435216,One With the Wind,XLN,Ixalan,{1}{U},['Blue'],Enchantment — Aura,,Common
435217,Opt,XLN,Ixalan,{U},['Blue'],Instant,,Common
435218,Overflowing Insight,XLN,Ixalan,{4}{U}{U}{U},['Blue'],Sorcery,,Mythic Rare
435219,Perilous Voyage,XLN,Ixalan,{1}{U},['Blue'],Instant,,Uncommon
435220,Pirate's Prize,XLN,Ixalan,{3}{U},['Blue'],Sorcery,,Common
435221,Prosperous Pirates,XLN,Ixalan,{4}{U},['Blue'],Creature — Human Pirate,,Common
435222,River Sneak,XLN,Ixalan,{1}{U},['Blue'],Creature — Merfolk Warrior,,Uncommon
435223,River's Rebuke,XLN,Ixalan,{4}{U}{U},['Blue'],Sorcery,,Rare
435224,Run Aground,XLN,Ixalan,{3}{U},['Blue'],Instant,,Common
435225,Sailor of Means,XLN,Ixalan,{2}{U},['Blue'],Creature — Human Pirate,,Common
435226,Search for Azcanta,XLN,Ixalan,{1}{U},['Blue'],Legendary Enchantment,['Legendary'],Rare
435227,"Azcanta, the Sunken Ruin",XLN,Ixalan,,,Legendary Land,['Legendary'],Rare
435228,Shaper Apprentice,XLN,Ixalan,{1}{U},['Blue'],Creature — Merfolk Wizard,,Common
435229,Shipwreck Looter,XLN,Ixalan,{1}{U},['Blue'],Creature — Human Pirate,,Common
435230,Shore Keeper,XLN,Ixalan,{U},['Blue'],Creature — Trilobite,,Common
435231,Siren Lookout,XLN,Ixalan,{2}{U},['Blue'],Creature — Siren Pirate,,Common
435232,Siren Stormtamer,XLN,Ixalan,{U},['Blue'],Creature — Siren Pirate Wizard,,Uncommon
435233,Siren's Ruse,XLN,Ixalan,{1}{U},['Blue'],Instant,,Common
435234,Spell Pierce,XLN,Ixalan,{U},['Blue'],Instant,,Common
435235,Spell Swindle,XLN,Ixalan,{3}{U}{U},['Blue'],Instant,,Rare
435236,Storm Fleet Aerialist,XLN,Ixalan,{1}{U},['Blue'],Creature — Human Pirate,,Uncommon
435237,Storm Fleet Spy,XLN,Ixalan,{2}{U},['Blue'],Creature — Human Pirate,,Uncommon
435238,Storm Sculptor,XLN,Ixalan,{3}{U},['Blue'],Creature — Merfolk Wizard,,Common
435239,Tempest Caller,XLN,Ixalan,{2}{U}{U},['Blue'],Creature — Merfolk Wizard,,Uncommon
435240,Watertrap Weaver,XLN,Ixalan,{2}{U},['Blue'],Creature — Merfolk Wizard,,Common
435241,Wind Strider,XLN,Ixalan,{4}{U},['Blue'],Creature — Merfolk Wizard,,Common
435242,Anointed Deacon,XLN,Ixalan,{4}{B},['Black'],Creature — Vampire Cleric,,Common
435243,Arguel's Blood Fast,XLN,Ixalan,{1}{B},['Black'],Legendary Enchantment,['Legendary'],Rare
435244,Temple of Aclazotz,XLN,Ixalan,,,Legendary Land,['Legendary'],Rare
435245,Bishop of the Bloodstained,XLN,Ixalan,{3}{B}{B},['Black'],Creature — Vampire Cleric,,Uncommon
435246,Blight Keeper,XLN,Ixalan,{B},['Black'],Creature — Bat Imp,,Common
435247,Bloodcrazed Paladin,XLN,Ixalan,{1}{B},['Black'],Creature — Vampire Knight,,Rare
435248,Boneyard Parley,XLN,Ixalan,{5}{B}{B},['Black'],Sorcery,,Mythic Rare
435249,Contract Killing,XLN,Ixalan,{3}{B}{B},['Black'],Sorcery,,Common
435250,Costly Plunder,XLN,Ixalan,{1}{B},['Black'],Instant,,Common
435251,Dark Nourishment,XLN,Ixalan,{4}{B},['Black'],Instant,,Uncommon
435252,Deadeye Tormentor,XLN,Ixalan,{2}{B},['Black'],Creature — Human Pirate,,Common
435253,Deadeye Tracker,XLN,Ixalan,{B},['Black'],Creature — Human Pirate,,Rare
435254,Deathless Ancient,XLN,Ixalan,{4}{B}{B},['Black'],Creature — Vampire Knight,,Uncommon
435255,Desperate Castaways,XLN,Ixalan,{1}{B},['Black'],Creature — Human Pirate,,Common
435256,Dire Fleet Hoarder,XLN,Ixalan,{1}{B},['Black'],Creature — Human Pirate,,Common
435257,Dire Fleet Interloper,XLN,Ixalan,{3}{B},['Black'],Creature — Human Pirate,,Common
435258,Dire Fleet Ravager,XLN,Ixalan,{3}{B}{B},['Black'],Creature — Orc Pirate Wizard,,Mythic Rare
435259,Duress,XLN,Ixalan,{B},['Black'],Sorcery,,Common
435260,Fathom Fleet Captain,XLN,Ixalan,{1}{B},['Black'],Creature — Human Pirate,,Rare
435261,Fathom Fleet Cutthroat,XLN,Ixalan,{3}{B},['Black'],Creature — Human Pirate,,Common
435262,Grim Captain's Call,XLN,Ixalan,{2}{B},['Black'],Sorcery,,Uncommon
435263,Heartless Pillage,XLN,Ixalan,{2}{B},['Black'],Sorcery,,Uncommon
435264,Kitesail Freebooter,XLN,Ixalan,{1}{B},['Black'],Creature — Human Pirate,,Uncommon
435265,Lurking Chupacabra,XLN,Ixalan,{3}{B},['Black'],Creature — Beast Horror,,Uncommon
435266,March of the Drowned,XLN,Ixalan,{B},['Black'],Sorcery,,Common
435267,Mark of the Vampire,XLN,Ixalan,{3}{B},['Black'],Enchantment — Aura,,Common
435268,Queen's Agent,XLN,Ixalan,{5}{B},['Black'],Creature — Vampire Scout,,Common
435269,Queen's Bay Soldier,XLN,Ixalan,{1}{B},['Black'],Creature — Vampire Soldier,,Common
435270,Raiders' Wake,XLN,Ixalan,{3}{B},['Black'],Enchantment,,Uncommon
435271,Revel in Riches,XLN,Ixalan,{4}{B},['Black'],Enchantment,,Rare
435272,Ruin Raider,XLN,Ixalan,{2}{B},['Black'],Creature — Orc Pirate,,Rare
435273,Ruthless Knave,XLN,Ixalan,{2}{B},['Black'],Creature — Orc Pirate,,Uncommon
435274,Sanctum Seeker,XLN,Ixalan,{2}{B}{B},['Black'],Creature — Vampire Knight,,Rare
435275,Seekers' Squire,XLN,Ixalan,{1}{B},['Black'],Creature — Human Scout,,Uncommon
435276,Skittering Heartstopper,XLN,Ixalan,{B},['Black'],Creature — Insect,,Common
435277,Skulduggery,XLN,Ixalan,{B},['Black'],Instant,,Common
435278,Skymarch Bloodletter,XLN,Ixalan,{2}{B},['Black'],Creature — Vampire Soldier,,Common
435279,Spreading Rot,XLN,Ixalan,{4}{B},['Black'],Sorcery,,Common
435280,Sword-Point Diplomacy,XLN,Ixalan,{2}{B},['Black'],Sorcery,,Rare
435281,Vanquish the Weak,XLN,Ixalan,{2}{B},['Black'],Instant,,Common
435282,Vicious Conquistador,XLN,Ixalan,{B},['Black'],Creature — Vampire Soldier,,Uncommon
435283,Vraska's Contempt,XLN,Ixalan,{2}{B}{B},['Black'],Instant,,Rare
435284,Walk the Plank,XLN,Ixalan,{B}{B},['Black'],Sorcery,,Uncommon
435285,Wanted Scoundrels,XLN,Ixalan,{1}{B},['Black'],Creature — Human Pirate,,Uncommon
435286,Angrath's Marauders,XLN,Ixalan,{5}{R}{R},['Red'],Creature — Human Pirate,,Rare
435287,Bonded Horncrest,XLN,Ixalan,{3}{R},['Red'],Creature — Dinosaur,,Uncommon
435288,Brazen Buccaneers,XLN,Ixalan,{3}{R},['Red'],Creature — Human Pirate,,Common
435289,Burning Sun's Avatar,XLN,Ixalan,{3}{R}{R}{R},['Red'],Creature — Dinosaur Avatar,,Rare
435290,Captain Lannery Storm,XLN,Ixalan,{2}{R},['Red'],Legendary Creature — Human Pirate,['Legendary'],Rare
435291,Captivating Crew,XLN,Ixalan,{3}{R},['Red'],Creature — Human Pirate,,Rare
435292,Charging Monstrosaur,XLN,Ixalan,{4}{R},['Red'],Creature — Dinosaur,,Uncommon
435293,Demolish,XLN,Ixalan,{3}{R},['Red'],Sorcery,,Common
435294,Dinosaur Stampede,XLN,Ixalan,{2}{R},['Red'],Instant,,Uncommon
435295,Dual Shot,XLN,Ixalan,{R},['Red'],Instant,,Common
435296,Fathom Fleet Firebrand,XLN,Ixalan,{1}{R},['Red'],Creature — Human Pirate,,Common
435297,Fiery Cannonade,XLN,Ixalan,{2}{R},['Red'],Instant,,Uncommon
435298,Fire Shrine Keeper,XLN,Ixalan,{R},['Red'],Creature — Elemental,,Common
435299,Firecannon Blast,XLN,Ixalan,{1}{R}{R},['Red'],Sorcery,,Common
435300,Frenzied Raptor,XLN,Ixalan,{2}{R},['Red'],Creature — Dinosaur,,Common
435301,Headstrong Brute,XLN,Ixalan,{2}{R},['Red'],Creature — Orc Pirate,,Common
435302,Hijack,XLN,Ixalan,{1}{R}{R},['Red'],Sorcery,,Common
435303,Lightning Strike,XLN,Ixalan,{1}{R},['Red'],Instant,,Uncommon
435304,Lightning-Rig Crew,XLN,Ixalan,{2}{R},['Red'],Creature — Goblin Pirate,,Uncommon
435305,Makeshift Munitions,XLN,Ixalan,{1}{R},['Red'],Enchantment,,Uncommon
435306,Nest Robber,XLN,Ixalan,{1}{R},['Red'],Creature — Dinosaur,,Common
435307,Otepec Huntmaster,XLN,Ixalan,{1}{R},['Red'],Creature — Human Shaman,,Uncommon
435308,Rampaging Ferocidon,XLN,Ixalan,{2}{R},['Red'],Creature — Dinosaur,,Rare
435309,Raptor Hatchling,XLN,Ixalan,{1}{R},['Red'],Creature — Dinosaur,,Uncommon
435310,Repeating Barrage,XLN,Ixalan,{1}{R}{R},['Red'],Sorcery,,Rare
435311,Rigging Runner,XLN,Ixalan,{R},['Red'],Creature — Goblin Pirate,,Uncommon
435312,Rile,XLN,Ixalan,{R},['Red'],Sorcery,,Common
435313,Rowdy Crew,XLN,Ixalan,{2}{R}{R},['Red'],Creature — Human Pirate,,Mythic Rare
435314,Rummaging Goblin,XLN,Ixalan,{2}{R},['Red'],Creature — Goblin Rogue,,Common
435315,Star of Extinction,XLN,Ixalan,{5}{R}{R},['Red'],Sorcery,,Mythic Rare
435316,Storm Fleet Arsonist,XLN,Ixalan,{4}{R},['Red'],Creature — Orc Pirate,,Uncommon
435317,Storm Fleet Pyromancer,XLN,Ixalan,{4}{R},['Red'],Creature — Human Pirate Wizard,,Common
435318,Sun-Crowned Hunters,XLN,Ixalan,{4}{R}{R},['Red'],Creature — Dinosaur,,Common
435319,Sunbird's Invocation,XLN,Ixalan,{5}{R},['Red'],Enchantment,,Rare
435320,Sure Strike,XLN,Ixalan,{1}{R},['Red'],Instant,,Common
435321,Swashbuckling,XLN,Ixalan,{1}{R},['Red'],Enchantment — Aura,,Common
435322,Thrash of Raptors,XLN,Ixalan,{3}{R},['Red'],Creature — Dinosaur,,Common
435323,Tilonalli's Knight,XLN,Ixalan,{1}{R},['Red'],Creature — Human Knight,,Common
435324,Tilonalli's Skinshifter,XLN,Ixalan,{2}{R},['Red'],Creature — Human Shaman,,Rare
435325,Trove of Temptation,XLN,Ixalan,{3}{R},['Red'],Enchantment,,Uncommon
435326,Unfriendly Fire,XLN,Ixalan,{4}{R},['Red'],Instant,,Common
435327,Vance's Blasting Cannons,XLN,Ixalan,{3}{R},['Red'],Legendary Enchantment,['Legendary'],Rare
435328,Spitfire Bastion,XLN,Ixalan,,,Legendary Land,['Legendary'],Rare
435329,Wily Goblin,XLN,Ixalan,{R}{R},['Red'],Creature — Goblin Pirate,,Uncommon
435330,Ancient Brontodon,XLN,Ixalan,{6}{G}{G},['Green'],Creature — Dinosaur,,Common
435331,Atzocan Archer,XLN,Ixalan,{2}{G},['Green'],Creature — Human Archer,,Uncommon
435332,Blinding Fog,XLN,Ixalan,{2}{G},['Green'],Instant,,Common
435333,Blossom Dryad,XLN,Ixalan,{2}{G},['Green'],Creature — Dryad,,Common
435334,Carnage Tyrant,XLN,Ixalan,{4}{G}{G},['Green'],Creature — Dinosaur,,Mythic Rare
435335,Colossal Dreadmaw,XLN,Ixalan,{4}{G}{G},['Green'],Creature — Dinosaur,,Common
435336,Commune with Dinosaurs,XLN,Ixalan,{G},['Green'],Sorcery,,Common
435337,Crash the Ramparts,XLN,Ixalan,{2}{G},['Green'],Instant,,Common
435338,Crushing Canopy,XLN,Ixalan,{2}{G},['Green'],Instant,,Common
435339,Deathgorge Scavenger,XLN,Ixalan,{2}{G},['Green'],Creature — Dinosaur,,Rare
435340,Deeproot Champion,XLN,Ixalan,{1}{G},['Green'],Creature — Merfolk Shaman,,Rare
435341,Deeproot Warrior,XLN,Ixalan,{1}{G},['Green'],Creature — Merfolk Warrior,,Common
435342,Drover of the Mighty,XLN,Ixalan,{1}{G},['Green'],Creature — Human Druid,,Uncommon
435343,Emergent Growth,XLN,Ixalan,{3}{G},['Green'],Sorcery,,Uncommon
435344,Emperor's Vanguard,XLN,Ixalan,{3}{G},['Green'],Creature — Human Scout,,Rare
435345,Grazing Whiptail,XLN,Ixalan,{2}{G}{G},['Green'],Creature — Dinosaur,,Common
435346,Growing Rites of Itlimoc,XLN,Ixalan,{2}{G},['Green'],Legendary Enchantment,['Legendary'],Rare
435347,"Itlimoc, Cradle of the Sun",XLN,Ixalan,,,Legendary Land,['Legendary'],Rare
435348,Ixalli's Diviner,XLN,Ixalan,{1}{G},['Green'],Creature — Human Druid,,Common
435349,Ixalli's Keeper,XLN,Ixalan,{1}{G},['Green'],Creature — Human Shaman,,Common
435350,Jade Guardian,XLN,Ixalan,{3}{G},['Green'],Creature — Merfolk Shaman,,Common
435351,Jungle Delver,XLN,Ixalan,{G},['Green'],Creature — Merfolk Warrior,,Common
435352,Kumena's Speaker,XLN,Ixalan,{G},['Green'],Creature — Merfolk Shaman,,Uncommon
435353,Merfolk Branchwalker,XLN,Ixalan,{1}{G},['Green'],Creature — Merfolk Scout,,Uncommon
435354,New Horizons,XLN,Ixalan,{2}{G},['Green'],Enchantment — Aura,,Common
435355,Old-Growth Dryads,XLN,Ixalan,{G},['Green'],Creature — Dryad,,Rare
435356,Pounce,XLN,Ixalan,{1}{G},['Green'],Instant,,Common
435357,Ranging Raptors,XLN,Ixalan,{2}{G},['Green'],Creature — Dinosaur,,Uncommon
435358,Ravenous Daggertooth,XLN,Ixalan,{2}{G},['Green'],Creature — Dinosaur,,Common
435359,Ripjaw Raptor,XLN,Ixalan,{2}{G}{G},['Green'],Creature — Dinosaur,,Rare
435360,River Heralds' Boon,XLN,Ixalan,{1}{G},['Green'],Instant,,Common
435361,Savage Stomp,XLN,Ixalan,{2}{G},['Green'],Sorcery,,Uncommon
435362,Shapers' Sanctuary,XLN,Ixalan,{G},['Green'],Enchantment,,Rare
435363,Slice in Twain,XLN,Ixalan,{2}{G}{G},['Green'],Instant,,Uncommon
435364,Snapping Sailback,XLN,Ixalan,{4}{G},['Green'],Creature — Dinosaur,,Uncommon
435365,Spike-Tailed Ceratops,XLN,Ixalan,{4}{G},['Green'],Creature — Dinosaur,,Common
435366,Thundering Spineback,XLN,Ixalan,{5}{G}{G},['Green'],Creature — Dinosaur,,Uncommon
435367,Tishana's Wayfinder,XLN,Ixalan,{2}{G},['Green'],Creature — Merfolk Scout,,Common
435368,Verdant Rebirth,XLN,Ixalan,{1}{G},['Green'],Instant,,Uncommon
435369,Verdant Sun's Avatar,XLN,Ixalan,{5}{G}{G},['Green'],Creature — Dinosaur Avatar,,Rare
435370,Vineshaper Mystic,XLN,Ixalan,{2}{G},['Green'],Creature — Merfolk Shaman,,Uncommon
435371,Waker of the Wilds,XLN,Ixalan,{2}{G}{G},['Green'],Creature — Merfolk Shaman,,Rare
435372,Wildgrowth Walker,XLN,Ixalan,{1}{G},['Green'],Creature — Elemental,,Uncommon
435373,Admiral Beckett Brass,XLN,Ixalan,{1}{U}{B}{R},"['Blue', 'Black', 'Red']",Legendary Creature — Human Pirate,['Legendary'],Mythic Rare
435374,Belligerent Brontodon,XLN,Ixalan,{5}{G}{W},"['White', 'Green']",Creature — Dinosaur,,Uncommon
435375,Call to the Feast,XLN,Ixalan,{2}{W}{B},"['White', 'Black']",Sorcery,,Uncommon
435376,Deadeye Plunderers,XLN,Ixalan,{3}{U}{B},"['Blue', 'Black']",Creature — Human Pirate,,Uncommon
435377,Dire Fleet Captain,XLN,Ixalan,{B}{R},"['Black', 'Red']",Creature — Orc Pirate,,Uncommon
435378,"Gishath, Sun's Avatar",XLN,Ixalan,{5}{R}{G}{W},"['White', 'Red', 'Green']",Legendary Creature — Dinosaur Avatar,['Legendary'],Mythic Rare
435379,Hostage Taker,XLN,Ixalan,{2}{U}{B},"['Blue', 'Black']",Creature — Human Pirate,,Rare
435380,"Huatli, Warrior Poet",XLN,Ixalan,{3}{R}{W},"['White', 'Red']",Legendary Planeswalker — Huatli,['Legendary'],Mythic Rare
435381,Marauding Looter,XLN,Ixalan,{2}{U}{R},"['Blue', 'Red']",Creature — Human Pirate,,Uncommon
435382,Raging Swordtooth,XLN,Ixalan,{3}{R}{G},"['Red', 'Green']",Creature — Dinosaur,,Uncommon
435383,Regisaur Alpha,XLN,Ixalan,{3}{R}{G},"['Red', 'Green']",Creature — Dinosaur,,Rare
435384,Shapers of Nature,XLN,Ixalan,{1}{G}{U},"['Blue', 'Green']",Creature — Merfolk Shaman,,Uncommon
435385,Sky Terror,XLN,Ixalan,{R}{W},"['White', 'Red']",Creature — Dinosaur,,Uncommon
435386,"Tishana, Voice of Thunder",XLN,Ixalan,{5}{G}{U},"['Blue', 'Green']",Legendary Creature — Merfolk Shaman,['Legendary'],Mythic Rare
435387,"Vona, Butcher of Magan",XLN,Ixalan,{3}{W}{B},"['White', 'Black']",Legendary Creature — Vampire Knight,['Legendary'],Mythic Rare
435388,"Vraska, Relic Seeker",XLN,Ixalan,{4}{B}{G},"['Black', 'Green']",Legendary Planeswalker — Vraska,['Legendary'],Mythic Rare
435389,Cobbled Wings,XLN,Ixalan,{2},,Artifact — Equipment,,Common
435390,Conqueror's Galleon,XLN,Ixalan,{4},,Artifact — Vehicle,,Rare
435391,Conqueror's Foothold,XLN,Ixalan,,,Land,,Rare
435392,Dowsing Dagger,XLN,Ixalan,{2},,Artifact — Equipment,,Rare
435393,Lost Vale,XLN,Ixalan,,,Land,,Rare
